Tempo;CasADi_Pwh_Bar;Linear_Pwh_Bar
1661;1283,5463417726796;106,2179353385499
1662;1283,4861549924728;106,22525115975922
1663;1283,4292511533301;106,23249585805075
1664;1283,3756201024266;106,2396695167163
1665;1283,3252515988177;106,24677221988442
1666;1283,2781353142884;106,25380405251691
1667;1283,234260834196;106,26076510040537
1668;1283,1936176583088;106,26765545016758
1669;1283,1561952016389;106,27447518924416
1670;1283,1219827952712;106,2812244058948
1671;1283,0909696871872;106,28790318919495
1672;1283,063145043085;106,29451162903217
1673;1283,0384979471933;106,30104981610272
1674;1283,0170174030816;106,30751784190785
1675;1282,998692334466;106,31391579875044
1676;1282,9835115860114;106,32024377973134
1677;1282,9714639241254;106,32650187874592
1678;1282,9625380377522;106,33269019048046
1679;1282,9567225391597;106,33880881040868
1680;1282,9540059647234;106,34485783478807
1681;1282,9543767757023;106,35083736065653
1682;1282,9578233590155;106,3567474858286
1683;1282,964334028011;106,36258830889211
1684;1282,9738970232308;106,36835992920447
1685;1282,9865005131699;106,37406244688921
1686;1283,002132595037;106,37969596283239
1687;1283,0207812955016;106,38526057867904
1688;1283,042434571444;106,39075639682954
1689;1283,0670803106982;106,39618352043622
1690;1283,094706332791;106,40154205339965
1691;1283,1253003896747;106,40683210036505
1692;1283,15885016646;106,41205376671886
1693;1283,1953432821388;106,41720715858509
1694;1283,2347672903077;106,42229238282168
1695;1283,2771096798847;106,4273095470171
1696;1283,3223578758227;106,43225875948666
1697;1283,3704992398166;106,43714012926888
1698;1283,4215210710097;106,44195376612205
1699;1283,4754106066928;106,44669978052059
1700;1283,5321550230008;106,45137828365147
1701;1283,5917414356052;106,4559893874106
1702;1283,6541569004007;106,46053320439935
1703;1283,7193884141907;106,4650098479208
1704;1283,787422915365;106,46941943197638
1705;1283,8582472845767;106,47376207126207
1706;1283,931848345414;106,47803788116498
1707;1284,0082128650674;106,48224697775964
1708;1284,0873275549923;106,48638947780455
1709;1284,16917907157;106,49046549873842
1710;1284,253754016763;106,49447515867678
1711;1284,3410389387673;106,49841857640827
1712;1284,4310203326597;106,50229587139104
1713;1284,5236846410419;106,50610716374925
1714;1284,619018254681;106,50985257426942
1715;1284,7170075131476;106,51353222439685
1716;1284,817638705445;106,51714623623207
1717;1284,920898070642;106,52069473252719
1718;1285,026771798496;106,52417783668238
1719;1285,1352460300755;106,52759567274224
1720;1285,2463068583795;106,53094836539218
1721;1285,3599403289497;106,5342360399549
1722;1285,476132440483;106,53745882238682
1723;1285,594869145439;106,54061683927439
1724;1285,7161363506432;106,54371021783058
1725;1285,8399199178884;106,54673908589125
1726;1285,9662056645313;106,5497035719116
1727;1286,094979364087;106,55260380496262
1728;1286,2262267468188;106,55543991472737
1729;1286,3599335003255;106,55821203149756
1730;1286,496085270125;106,56092028616983
1731;1286,6346676602361;106,56356481024224
1732;1286,775666233755;106,56614573581066
1733;1286,9190665134292;106,56866319556521
1734;1287,0648539822307;106,57111732278668
1735;1287,213014083922;106,57350825134284
1736;1287,363532223622;106,5758361156851
1737;1287,5163937683683;106,57810105084468
1738;1287,671584047676;106,58030319242911
1739;1287,8290883540947;106,58244267661881
1740;1287,9888919437606;106,58451964016324
1741;1288,1509800369479;106,58653422037754
1742;1288,3153378186178;106,58848655513886
1743;1288,4819504389595;106,59037678288284
1744;1288,6508030139378;106,59220504259999
1745;1288,8218806258274;106,59397147383211
1746;1288,9951683237543;106,59567621666878
1747;1289,1706511242282;106,59731941174381
1748;1289,3483140116725;106,5989012002315
1749;1289,5281419389576;106,60042172384333
1750;1289,7101198279245;106,60188112482422
1751;1289,8942325699104;106,603279545949
1752;1290,080465026271;106,60461713051889
1753;1290,2688020289002;106,60589402235797
1754;1290,4592283807463;106,60711036580948
1755;1290,6517288563286;106,60826630573243
1756;1290,8462882022486;106,60936198749798
1757;1291,042891137704;106,61039755698586
1758;1291,241194176636;106,61137316058087
1759;1291,441515236895;106,6122889451693
1760;1291,6438389877849;106,61314505813544
1761;1291,8481500697542;106,61394164735798
1762;1292,0544330955477;106,61467886120647
1763;1292,2626726512192;106,61535684853781
1764;1292,4728532970337;106,61597575869273
1765;1292,6849595682834;106,61653574149221
1766;1292,8989759760323;106,617036947234
1767;1293,1148870078107;106,61747952668901
1768;1293,3326771282605;106,61786363109792
1769;1293,5523307797473;106,61818941216748
1770;1293,7738323829465;106,61845702206716
1771;1293,9971663374042;106,61866661342552
1772;1294,2223170220839;106,61881833932674
1773;1294,4492687958948;106,61891235330708
1774;1294,6780059982118;106,6189488093514
1775;1294,9085129493837;106,61892786188966
1776;1295,1407739512367;106,61884966579333
1777;1295,3747732875668;106,61871437637203
1778;1295,6104952246342;106,61852214936988
1779;1295,847924011645;106,61827314096212
1780;1296,0870438812358;106,61796750775154
1781;1296,3278390499534;106,61760540676508
1782;1296,570293718729;106,61718699545023
1783;1296,8143920733546;106,61671243167159
1784;1297,0603804235147;106,61618187370743
1785;1297,3079756200143;106,61559548024623
1786;1297,5571617777593;106,61495341038305
1787;1297,8079230030437;106,61425582361623
1788;1298,0602433931122;106,61350287984386
1789;1298,3141070359143;106,61269473936031
1790;1298,5694980100027;106,61183156285274
1791;1298,826400384552;106,61091351139773
1792;1299,0847982194703;106,60994074645772
1793;1299,3446755655805;106,60891342987765
1794;1299,6060164648648;106,60783172388143
1795;1299,8688049507498;106,60669579106857
1796;1300,1330250484302;106,60550579441072
1797;1300,3986607752186;106,6042618972482
1798;1300,6656961409196;106,60296426328657
1799;1300,9341151482192;106,6016130565933
1800;1301,2039017930897;106,60020844159416
1801;1301,475040065204;106,59875058307001
1802;1301,7475139483577;106,59723964615323
1803;1302,0213074208996;106,59567579632434
1804;1302,296404456166;106,59405919940866
1805;1302,5727890229196;106,59239002157283
