Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg
7565821.8453446645;2964282.756796072;7561987.282373633;12466987.282373633;0.5697400510596312;13.085551563137962;10.735730241341914;0.7994214282339098;9.936308813108004;0.13085551563137962
7568462.078946214;2964316.721081339;7564619.5973296305;12469619.597329631;0.5704275291307802;13.078750522145336;10.7389525332167;0.7990139152292478;9.939938617987453;0.13078750522145335
7571099.42296754;2964355.763639951;7567248.963617926;12472248.963617926;0.5711188623460676;13.071953567062122;10.74219298960726;0.7986115314572585;9.943581458150001;0.13071953567062122
7573733.861273111;2964399.8770013996;7569875.36510629;12474875.36510629;0.5718140397662322;13.065160745999826;10.745451588956511;0.7982142644726351;9.947237324483876;0.13065160745999826
7576365.377773245;2964449.0536898444;7572498.785707852;12477498.785707852;0.5725130504500361;13.058372107048763;10.748728309280123;0.797822101891184;9.95090620738894;0.13058372107048763
7578993.956424121;2964503.2862237864;7575119.209381107;12480119.209381107;0.5732158834554111;13.051587698277828;10.752023128166245;0.7974350313893126;9.954588096776932;0.13051587698277828
7581619.581227787;2964562.567115741;7577736.620129941;12482736.620129941;0.5739225278391515;13.04480756773422;10.755336022775237;0.7970530407035179;9.958282982071719;0.1304480756773422
7584242.236232165;2964626.8888719226;7580351.002003664;12485351.002003664;0.5746329726552302;13.038031763443142;10.7586669698395;0.7966761176298857;9.961990852209613;0.13038031763443142
7586861.905531052;2964696.2439919147;7582962.339097017;12487962.339097017;0.57534720695518;13.031260333407571;10.76201594566321;0.7963042500235803;9.96571169563963;0.1303126033340757
7589478.573264145;2964770.6249683495;7585570.615550201;12490570.615550201;0.5760652197888841;13.024493325607962;10.765382926122134;0.7959374257983448;9.96944550032379;0.1302449332560796
7592092.223617044;2964850.0242865975;7588175.815548904;12493175.815548904;0.5767870002028197;13.017730788001955;10.768767886663504;0.7955756329260074;9.973192253737496;0.13017730788001955
7594702.840821269;2964934.4344244427;7590777.923324332;12495777.923324332;0.5775125372403646;13.010972768524079;10.77217080230584;0.7952188594359817;9.976951942869858;0.1301097276852408
7597310.4091542605;2965023.847851766;7593376.923153214;12498376.923153214;0.5782418199418249;13.004219315085496;10.775591647638802;0.7948670934147748;9.980724554224027;0.13004219315085497
7599914.912939414;2965118.2570302365;7595972.799357861;12500972.799357861;0.5789748373436397;12.997470475573643;10.779030396823117;0.7945203230054987;9.984510073817619;0.12997470475573641
7602516.336546078;2965217.6544129937;7598565.536306173;12503565.536306173;0.5797115784781329;12.990726297851968;10.782487023590475;0.7941785364073816;9.988308487183094;0.12990726297851968
7605114.664389582;2965322.032444339;7601155.118411671;12506155.118411671;0.5804520323739465;12.98398682975961;10.785961501243456;0.7938417218752838;9.992119779368172;0.1298398682975961
7607709.880931252;2965431.3835594235;7603741.530133548;12508741.53013355;0.581196188054491;12.977252119111043;10.789453802655496;0.7935098677192159;9.99594393493628;0.12977252119111043
7610301.970678429;2965545.700183945;7606324.755976679;12511324.755976679;0.5819440345389914;12.97052221369581;10.79296390027086;0.7931829623038604;9.999780937967001;0.1297052221369581
7612890.918184493;2965664.9747338337;7608904.780491663;12513904.780491663;0.5826955608416163;12.963797161278155;10.79649176610463;0.7928609940480937;10.003630772056535;0.12963797161278154
7615476.708048876;2965789.199614956;7611481.588274864;12516481.588274863;0.5834507559708848;12.957077009596695;10.80003737174273;0.7925439514245134;10.007493420318216;0.12957077009596696
7618059.324917094;2965918.367222801;7614055.163968434;12519055.163968433;0.5842096089300215;12.950361806364095;10.803600688341934;0.7922318229589645;10.01136886538297;0.12950361806364094
7620638.753480769;2966052.469942187;7616625.492260365;12521625.492260365;0.5849721087164275;12.943651599266698;10.80718168662997;0.7919245972300731;10.015257089399897;0.12943651599266698
7623214.978477645;2966191.5001469543;7619192.557884504;12524192.557884503;0.5857382443218276;12.936946435964229;10.810780336905536;0.7916222628687782;10.019158074036758;0.1293694643596423
7625787.984691624;2966335.450199675;7621756.345620627;12526756.345620627;0.5865080047304516;12.930246364089342;10.814396609038468;0.7913248085578682;10.023071800480599;0.12930246364089343
7628357.756952798;2966484.312451344;7624316.840294436;12529316.840294436;0.5872813789220942;12.923551431247377;10.81803047246979;0.7910322230315198;10.02699824943827;0.12923551431247376
7630924.280137455;2966638.079241094;7626874.026777637;12531874.026777636;0.5880583558676512;12.916861685015899;10.821681896211903;0.790744495074838;10.030937401137066;0.12916861685015898
7633487.539168128;2966796.7428958975;7629427.889987958;12534427.889987957;0.5888389245322442;12.910177172944378;10.825350848848732;0.7904616135234023;10.034889235325329;0.1291017717294438
